0 Ensemble_score =  1.803 z-score -2.626 Chi = 1.803 c1 = 1.045 c2 = 0.491
 769 Int325_5_B10890001_MSE.pdb.dat    (0.273) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.335) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.057) [ 0.989, 0.124, 0.054 ] 
2624 Int300_1_B10720001_MSE.pdb.dat    (0.069) [ 0.002, 0.069, 1.000 ] 
31 Ensemble_score =  1.873 z-score -0.685 Chi = 1.873 c1 = 1.045 c2 = 0.549
 488 Int300_9_B10970001_MSE.pdb.dat    (0.250) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.302) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.292) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.103) [ 0.989, 0.124, 0.054 ] 
1645 Int300_7_B10250001_MSE.pdb.dat    (0.055) [ 0.002, 0.055, 1.000 ] 
32 Ensemble_score =  1.874 z-score -0.661 Chi = 1.874 c1 = 1.045 c2 = 0.587
 488 Int300_9_B10970001_MSE.pdb.dat    (0.238) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.306) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.288) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.118) [ 0.989, 0.124, 0.054 ] 
1565 Basic300_8_B10180001_MSE.pdb.dat    (0.050) [ 0.033, 0.053, 0.002 ] 
33 Ensemble_score =  1.874 z-score -0.640 Chi = 1.874 c1 = 1.045 c2 = 0.587
 488 Int300_9_B10970001_MSE.pdb.dat    (0.217) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.308) [ 0.989, 0.304, 0.028 ] 
